"Qty","Value","Reference","Footprint"
"1","220u 16V","C1","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm"
"1","100n","C2","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm"
"2","LED","D1,D2","LED_THT:LED_D5.0mm"
"1","Conn_01x02_Pin","J1","TerminalBlock:TerminalBlock_bornier-2_P5.08mm"
"2","470","R1,R2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"4","10k","R3,R4,R5,R6","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"2","SW_Push","SW1,SW2","Button_Switch_THT:SW_PUSH_6mm_H5mm"
"1","ESP32-DEVKITV1-30PIN","U1","Decibelimetro_testBoard_librarie:ESP32-DEVKIT-30PIN"
"1","INMP441","U2","Decibelimetro_testBoard_librarie:INMP441"
"1","TFT 1.44"" ST7735","U3","Decibelimetro_testBoard_librarie:TFT 1.44_ ST7735"
